municipio_nombre;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022;2023
Valdaracete;-;-;-;-;-;-;-;-;-;-;-;-;5;5;5
Valdeavero;28;23;28;23;24;27;24;25;32;33;28;33;30;35;30
Valdelaguna;-;6;7;7;8;6;6;-;5;6;-;6;5;5;5
Valdemanco;9;8;7;7;7;8;11;12;9;9;12;8;15;15;15
Valdemaqueda;6;6;8;-;-;5;5;5;7;9;10;12;5;10;10
Valdemorillo;497;477;465;507;548;508;523;551;605;653;635;561;600;615;625
Valdemoro;1808;1919;1773;1750;1718;1886;2026;2112;2354;2375;2442;2308;2150;2310;2370
Valdeolmos-Alalpardo;83;100;113;110;126;136;133;131;150;159;140;145;130;135;130
Valdepiélagos;6;-;-;6;6;6;8;8;9;11;10;15;15;10;10
Valdetorres de Jarama;122;100;112;102;80;87;101;113;117;122;117;114;115;135;140
Valdilecha;45;41;56;44;41;42;40;39;40;42;46;53;60;70;55
Valverde de Alcalá;5;6;8;-;-;-;5;-;-;21;21;-;20;25;30
Velilla de San Antonio;361;359;335;322;351;391;388;390;399;412;439;454;410;395;390
Vellón (El);17;17;20;17;18;19;19;21;25;24;23;33;35;25;25
Venturada;68;79;65;67;66;76;71;76;77;82;109;118;110;110;130
Villa del Prado;61;66;58;58;55;56;58;57;64;67;67;74;65;75;90
Villaconejos;45;42;41;34;36;28;18;22;20;22;28;31;30;30;30
Villalbilla;492;442;305;331;377;364;353;358;383;419;436;427;430;455;475
Villamanrique de Tajo;-;-;-;-;-;-;-;-;-;-;-;-;5;5;5
Villamanta;99;48;38;35;25;29;31;25;33;29;28;26;85;85;65
Villamantilla;13;24;18;12;13;21;25;31;25;23;26;33;50;50;50
Villanueva de Perales;24;26;24;21;23;22;29;28;30;33;30;29;25;30;30
Villanueva de la Cañada;1033;1024;1177;1253;1419;1559;1060;1107;1255;1314;1395;1473;1455;1455;1525
Villanueva del Pardillo;656;664;709;657;677;705;743;796;875;921;860;853;745;780;775
Villar del Olmo;46;43;44;37;35;46;52;54;59;67;74;76;80;70;75
Villarejo de Salvanés;87;84;79;80;74;95;90;117;108;105;99;117;105;110;100
Villaviciosa de Odón;1576;1520;1436;1652;1547;1529;1770;1768;1909;1936;1803;1845;1740;1810;1995
Villavieja del Lozoya;-;5;5;-;5;5;5;7;5;5;6;8;5;5;5
Zarzalejo;11;11;13;17;20;21;21;20;24;27;28;31;40;40;35
Sin municipio asignado;2125;2168;2218;2321;2476;2675;2680;2954;3131;3425;3470;3567;3430;3930;4415
